,cw_Very worried,cw_Somewhat worried,cw_Not very worried,cw_Not at all worried,cw_Refused,hp_A great deal,hp_A moderate amount,hp_Only a little,hp_Not at all,hp_Don’t know,hp_Refused
Nigeria,39.5470559869776,19.8081448998415,25.0157803492177,13.9514038059951,1.67761495796799,29.100759534854,17.8926230424566,18.9406772829515,8.80921873074364,22.9850057967835,2.27171561221077
North MAcedonia,34.6875865777683,43.0827899109932,17.118664144068,5.1109593671705,,28.1242437609322,30.0790738776407,14.076487990827,9.58544870246704,18.134745668133,
Norway,13.8720797657322,39.9446371202443,36.1669232989054,10.0163598151181,,5.2127747116233,27.4666391353183,33.2534502277887,22.4245138503078,11.3710461729453,0.271575902016552
Oman,47.8100889421772,25.7617709484069,12.4547531664772,12.3545867736582,1.61880016928042,29.014861140738,23.7809217120842,17.4567105238408,8.76058460901254,18.984410421104,2.00251159322045
Pakistan,44.6029600732603,21.6863768306963,11.331884538001,16.4105378553291,5.96824070271334,38.3631673081146,19.6304226579198,15.0670789338252,5.37143377453234,17.6991728269079,3.86872449870019
Panama,67.7984570764223,22.8662654475014,6.2015970444788,2.36524998779767,0.768430443799874,56.6863521031847,18.9522800917438,12.2459996326697,3.04960284557576,8.58811873037397,0.477646596452069
Paraguay,50.4427950995057,31.6437921662999,9.42725018479435,7.73659143858769,0.749571110812459,41.4886638478533,24.7455449210082,15.8249108651759,4.94485896118768,12.126178640377,0.869842764397984
Peru,60.9296573428932,29.6526525124784,5.98168977200941,2.38369621788602,1.05230415473294,51.3379996155045,28.1370846700978,9.70025980152962,3.50942913911494,6.12983337032395,1.18539340342919
Philippines,54.7349166389444,30.4336689656392,10.2179783214124,3.27687606083318,1.33656001317078,45.7181143476506,28.0197788420808,11.1847071225284,3.7763383321403,10.3485538848083,0.952507470791626
Poland,27.0500890263795,47.4579490699093,17.6816780483692,6.8990364108939,0.911247444448115,26.1585535299307,39.1457520197434,19.6160181424428,5.32849575307216,9.50951499220553,0.241665562605368
Portugal,55.1630169291591,37.7846774430962,4.51754606068716,1.68465903921397,0.850100527843605,45.2796587740803,34.0843332789348,7.84552939386332,2.19679766441987,10.1135831777235,0.480097710978281
Puerto Rico,61.2557230597161,30.6968609603018,5.15559950848461,2.62761068097451,0.264205790522945,47.712008083421,29.7216070411563,6.57813066350814,2.9245126186593,12.428836810002,0.634904783253164
Qatar,44.1408339069936,25.7078510236611,13.9491548511999,13.9486465901346,2.25351362801073,30.411428413271,22.5437654998139,18.9187918434848,8.5562089894432,17.0401335003231,2.52967175366391
